angle_degrees,distance_meters,quality
2.267343750000000000e+02,4.275000000000000328e-02,5.700000000000000000e+01
2.275468750000000000e+02,4.374999999999999722e-02,5.700000000000000000e+01
2.283593750000000000e+02,4.474999999999999811e-02,5.600000000000000000e+01
2.292500000000000000e+02,4.474999999999999811e-02,5.600000000000000000e+01
2.300781250000000000e+02,4.449999999999999789e-02,5.600000000000000000e+01
2.309062500000000000e+02,4.474999999999999811e-02,5.600000000000000000e+01
2.325312500000000000e+02,4.775000000000000078e-02,5.600000000000000000e+01
2.333593750000000000e+02,4.800000000000000100e-02,5.600000000000000000e+01
2.341718750000000000e+02,4.800000000000000100e-02,5.600000000000000000e+01
2.350000000000000000e+02,4.800000000000000100e-02,5.600000000000000000e+01
2.366718750000000000e+02,5.075000000000000344e-02,5.600000000000000000e+01
2.375000000000000000e+02,5.099999999999999672e-02,5.500000000000000000e+01
2.391406250000000000e+02,4.800000000000000100e-02,5.300000000000000000e+01
2.399687500000000000e+02,4.700000000000000011e-02,5.100000000000000000e+01
2.424218750000000000e+02,4.700000000000000011e-02,4.900000000000000000e+01
3.079531250000000000e+02,2.364999999999999880e-01,1.800000000000000000e+01
3.087812500000000000e+02,2.335000000000000131e-01,1.700000000000000000e+01
3.096093750000000000e+02,2.347499999999999865e-01,2.000000000000000000e+01
3.104375000000000000e+02,2.367499999999999882e-01,2.100000000000000000e+01
3.112656250000000000e+02,2.369999999999999885e-01,2.200000000000000000e+01
3.121093750000000000e+02,2.382499999999999896e-01,3.700000000000000000e+01
3.129375000000000000e+02,2.414999999999999925e-01,5.100000000000000000e+01
3.137656250000000000e+02,2.412499999999999922e-01,5.200000000000000000e+01
3.145937500000000000e+02,2.402499999999999913e-01,5.100000000000000000e+01
3.154218750000000000e+02,2.402499999999999913e-01,5.100000000000000000e+01
3.162500000000000000e+02,2.384999999999999898e-01,5.000000000000000000e+01
3.170781250000000000e+02,2.384999999999999898e-01,5.100000000000000000e+01
3.179062500000000000e+02,2.394999999999999907e-01,4.400000000000000000e+01
3.187812500000000000e+02,2.372499999999999887e-01,4.000000000000000000e+01
3.196250000000000000e+02,2.357499999999999873e-01,4.000000000000000000e+01
3.204531250000000000e+02,2.354999999999999871e-01,4.000000000000000000e+01
3.212968750000000000e+02,2.344999999999999862e-01,4.000000000000000000e+01
3.221093750000000000e+02,2.337500000000000133e-01,4.000000000000000000e+01
3.229375000000000000e+02,2.354999999999999871e-01,4.400000000000000000e+01
3.237656250000000000e+02,2.382499999999999896e-01,5.100000000000000000e+01
3.245937500000000000e+02,2.379999999999999893e-01,5.100000000000000000e+01
3.254218750000000000e+02,2.374999999999999889e-01,5.100000000000000000e+01
3.262500000000000000e+02,2.374999999999999889e-01,5.100000000000000000e+01
3.270781250000000000e+02,2.377499999999999891e-01,5.100000000000000000e+01
3.279062500000000000e+02,2.377499999999999891e-01,5.000000000000000000e+01
3.287656250000000000e+02,2.367499999999999882e-01,4.400000000000000000e+01
3.296093750000000000e+02,2.347499999999999865e-01,3.500000000000000000e+01
3.304375000000000000e+02,2.335000000000000131e-01,3.500000000000000000e+01
3.312812500000000000e+02,2.340000000000000135e-01,3.400000000000000000e+01
3.321093750000000000e+02,2.349999999999999867e-01,3.500000000000000000e+01
3.329531250000000000e+02,2.367499999999999882e-01,3.500000000000000000e+01
3.337812500000000000e+02,2.394999999999999907e-01,4.100000000000000000e+01
3.346250000000000000e+02,2.412499999999999922e-01,5.000000000000000000e+01
3.355000000000000000e+02,2.417499999999999927e-01,5.000000000000000000e+01
3.363437500000000000e+02,2.419999999999999929e-01,4.900000000000000000e+01
3.371875000000000000e+02,2.422499999999999931e-01,4.800000000000000000e+01
3.380312500000000000e+02,2.432499999999999940e-01,4.900000000000000000e+01
3.388125000000000000e+02,2.437499999999999944e-01,4.700000000000000000e+01
3.396406250000000000e+02,2.439999999999999947e-01,4.000000000000000000e+01
3.404687500000000000e+02,2.457499999999999962e-01,3.900000000000000000e+01
3.412968750000000000e+02,2.487499999999999989e-01,3.800000000000000000e+01
3.421718750000000000e+02,2.494999999999999996e-01,3.800000000000000000e+01
3.430156250000000000e+02,2.500000000000000000e-01,3.900000000000000000e+01
3.438437500000000000e+02,2.510000000000000009e-01,4.000000000000000000e+01
3.446875000000000000e+02,2.530000000000000027e-01,4.400000000000000000e+01
3.455000000000000000e+02,2.560000000000000053e-01,4.500000000000000000e+01
3.463281250000000000e+02,2.572499999999999787e-01,4.500000000000000000e+01
3.471562500000000000e+02,2.587499999999999800e-01,4.500000000000000000e+01
3.479843750000000000e+02,2.610000000000000098e-01,4.400000000000000000e+01
3.488593750000000000e+02,2.630000000000000115e-01,4.200000000000000000e+01
3.497031250000000000e+02,2.655000000000000138e-01,4.200000000000000000e+01
3.505312500000000000e+02,2.670000000000000151e-01,4.200000000000000000e+01
3.513750000000000000e+02,2.692499999999999893e-01,4.400000000000000000e+01
3.521875000000000000e+02,2.722499999999999920e-01,4.400000000000000000e+01
3.530156250000000000e+02,2.732499999999999929e-01,4.400000000000000000e+01
3.538437500000000000e+02,2.742499999999999938e-01,4.000000000000000000e+01
3.546718750000000000e+02,2.750000000000000222e-01,3.800000000000000000e+01
3.555625000000000000e+02,2.762499999999999956e-01,3.800000000000000000e+01
3.564062500000000000e+02,2.780000000000000249e-01,3.400000000000000000e+01
3.572500000000000000e+02,2.780000000000000249e-01,3.100000000000000000e+01
